"portal","url","source","http_status","status_class","category","body_len","php_error","is_blank","final_url","notes"
"marketing","https://olasentra.com/staff-certificates.php","root:staff-certificates.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-change-password.php","root:staff-change-password.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-change-password.php","root:staff-change-password.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-checkin.php","root:staff-checkin.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-checkin.php","root:staff-checkin.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-documents.php","root:staff-documents.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-documents.php","root:staff-documents.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-google-oauth-callback.php","root:staff-google-oauth-callback.php","200","ok","auth_redirect","11602","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-google-oauth-callback.php","root:staff-google-oauth-callback.php","200","ok","auth_redirect","11602","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-google-signin.php","root:staff-google-signin.php","200","ok","ok","950349","False","False","https://accounts.google.com/v3/signin/identifier?opparams=%253F&dsh=S-802199768:1782138084640645&access_type=online&client_id=603350887421-98r4icv22rcc8slfghulqri4tq55bqj9.apps.googleusercontent.com&o2v=2&prompt=select_account&redirect_uri=https://register.olasentra.com/staff-google-oauth-callback.php&response_type=code&scope=openid+email+profile&service=lso&state=7e8f0e03231a2a6682f108d6336f7c3a&flowName=GeneralOAuthLite&continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser=unknown&part=AJi8hAPbnTjxiEw_iJIxIVaWHCpKXgJkVe_TpYKagksYDhgmwRa6638E2jBN0tJ-bYNCNNBHe7MUNFyBXCQaJqgZvS9CkY3DByw67pmJN77B57Q1GsKWq8wzWmXY5m9nVfLbPtAMIKofnG49j67hY9MGUJkegH36EcpWnjzZ1vT-tCAAMqVOlHLgWMaZjmj-O6OCpFRh2xMGaMeC6zu_80SWh3mmfQt3RMqjcvAXuY4TmFqlU2kV_RI7xNB2PcdiOpTSSuK2j6DeBvpUTdm2HhOOBiRvBXhtB-WL2INR-PiRTvzeenmglGZwA13QD3_sA8fBWK3KCP-nblw7lCzSD0cPpjjvdK9vj16aKXmZ6JxqT1U-6KdkkTK-dHtRF-VyaX3kJ5uAPmJwGu7LSlyAxUc5ay2IN7Y9RLPeBYF6X-HyJOu22C9Po2x8pqXv1-UNSFB4nmgC_PhRYmILg_-0NvRJCiCEee99yhRuy-uvemNmxrGStmua2sg&flowName=GeneralOAuthFlow&as=S-802199768%253A1782138084640645&client_id=603350887421-98r4icv22rcc8slfghulqri4tq55bqj9.apps.googleusercontent.com%23&app_domain=https://register.olasentra.com&rart=ANgoxce3VlEbdGj-qUo3Z_wcKsyLYBKDUq10tmvDNcQcERWm9XK57aWeWiqNdbHr9UIjp0_0YlMfioLOwgdtGKN1DXOsG-spyOCKfhZyMeBkG8MBhqZzz08",""
